id,seek,start,end,text,tokens,temperature,avg_logprob,compression_ratio,no_speech_prob
0,0,0.0,4.64," up to it, worried about it going well, worried about collateral damage, making sure that everyone","[493, 281, 309, 11, 5804, 466, 309, 516, 731, 11, 5804, 466, 41875, 4344, 11, 1455, 988, 300, 1518]",0.0,-0.22113520099270728,1.6794425087108014,0.7375665903091431
1,0,4.64,10.32," gets out safely. So I'm, it's probably a huge sense of relief today. We'll say it's a little bit shameful","[2170, 484, 11750, 13, 407, 286, 478, 11, 309, 311, 1391, 257, 2603, 2020, 295, 10915, 965, 13, 492, 603, 584, 309, 311, 257, 707, 857, 49600]",0.0,-0.22113520099270728,1.6794425087108014,0.7375665903091431
2,0,11.040000000000001,14.96," that President, President Biden would do this while he's supposed to be recovering from COVID.","[300, 3117, 11, 3117, 9877, 576, 360, 341, 1339, 415, 311, 3442, 281, 312, 29180, 490, 4566, 13]",0.0,-0.22113520099270728,1.6794425087108014,0.7375665903091431
3,0,16.32,23.36, It's hustle culture run amok. Commander in Chief's orders. What about doctors orders?,"[467, 311, 34639, 3713, 1190, 669, 453, 13, 20857, 294, 10068, 311, 9470, 13, 708, 466, 8778, 9470, 30]",0.0,-0.22113520099270728,1.6794425087108014,0.7375665903091431
4,0,25.04,29.76," That's a good point. I thought so. It's a good point. It's a good point. A dumb point, but a good","[663, 311, 257, 665, 935, 13, 286, 1194, 370, 13, 467, 311, 257, 665, 935, 13, 467, 311, 257, 665, 935, 13, 316, 10316, 935, 11, 457, 257, 665]",0.0,-0.22113520099270728,1.6794425087108014,0.7375665903091431
5,2976,29.76,34.88, point. Yeah. Thank you very much. Thank you. Thank you.,"[935, 13, 865, 13, 1044, 291, 588, 709, 13, 1044, 291, 13, 1044, 291, 13]",0.0,-0.17057112130251798,1.6066350710900474,0.00011755541345337406
6,2976,37.92,45.28, Let's talk about the Doha Accords that were part of the withdrawal from Afghanistan last year.,"[961, 311, 751, 466, 264, 1144, 1641, 5725, 5703, 300, 645, 644, 295, 264, 30646, 490, 13658, 1036, 1064, 13]",0.0,-0.17057112130251798,1.6066350710900474,0.00011755541345337406
7,2976,45.28,50.8," Tom, you take this one. Okay, you take this one. Sure. Because the Taliban agreed to quote,","[5041, 11, 291, 747, 341, 472, 13, 1033, 11, 291, 747, 341, 472, 13, 4894, 13, 1436, 264, 26478, 9166, 281, 6513, 11]",0.0,-0.17057112130251798,1.6066350710900474,0.00011755541345337406
8,2976,50.8,57.120000000000005," not allow groups, including Al Qaeda, to use the soil of Afghanistan to threaten security of the","[406, 2089, 3935, 11, 3009, 967, 1249, 43973, 11, 281, 764, 264, 6704, 295, 13658, 281, 29864, 3825, 295, 264]",0.0,-0.17057112130251798,1.6066350710900474,0.00011755541345337406
9,5712,57.12,67.92," United States. Shocker, the Taliban lied to us. Okay. How do you incentivize compliance to that","[2824, 3040, 13, 39474, 260, 11, 264, 26478, 20101, 281, 505, 13, 1033, 13, 1012, 360, 291, 35328, 1125, 15882, 281, 300]",0.0,-0.12266248975481306,1.4334975369458127,0.000128925297758542
10,5712,67.92,76.4," kind of agreement other than sending the flying steak knives, which we did? I think the key point","[733, 295, 8106, 661, 813, 7750, 264, 7137, 17009, 26279, 11, 597, 321, 630, 30, 286, 519, 264, 2141, 935]",0.0,-0.12266248975481306,1.4334975369458127,0.000128925297758542
11,5712,76.4,82.08," here is President Biden was right to end the war in Afghanistan after decades. I think what this,","[510, 307, 3117, 9877, 390, 558, 281, 917, 264, 1516, 294, 13658, 934, 7878, 13, 286, 519, 437, 341, 11]",0.0,-0.12266248975481306,1.4334975369458127,0.000128925297758542
12,8208,82.08,89.92," you can clap for that. To me, I don't think we ever trusted the Taliban to live up to their","[291, 393, 20760, 337, 300, 13, 1407, 385, 11, 286, 500, 380, 519, 321, 1562, 16034, 264, 26478, 281, 1621, 493, 281, 641]",0.0,-0.12465802482936693,1.5327868852459017,0.00018773785268422216
13,8208,89.92,95.12," commitments, or should we, but what this operation shows in my mind is that you don't need 100,000","[26230, 11, 420, 820, 321, 11, 457, 437, 341, 6916, 3110, 294, 452, 1575, 307, 300, 291, 500, 380, 643, 2319, 11, 1360]",0.0,-0.12465802482936693,1.5327868852459017,0.00018773785268422216
14,8208,95.12,99.52, troops in countries all around the world to conduct counter terrorist operations. I think,"[11522, 294, 3517, 439, 926, 264, 1002, 281, 6018, 5682, 20342, 7705, 13, 286, 519]",0.0,-0.12465802482936693,1.5327868852459017,0.00018773785268422216
15,8208,99.52,106.4, that's a good lesson for the United States to learn. Okay. All right. In other foreign policy,"[300, 311, 257, 665, 6898, 337, 264, 2824, 3040, 281, 1466, 13, 1033, 13, 1057, 558, 13, 682, 661, 5329, 3897]",0.0,-0.12465802482936693,1.5327868852459017,0.00018773785268422216
16,10640,106.4,112.88000000000001," news, and just jump in here any time you guys. In other foreign policy news, Speaker Pelosi landed","[2583, 11, 293, 445, 3012, 294, 510, 604, 565, 291, 1074, 13, 682, 661, 5329, 3897, 2583, 11, 8454, 44145, 15336]",0.0,-0.0916071785820855,1.6016949152542372,0.00014410688891075552
17,10640,112.88000000000001,120.56," in Taiwan today for a trip that military leaders, not only Chinese military leaders, but American","[294, 12296, 965, 337, 257, 4931, 300, 4632, 3523, 11, 406, 787, 4649, 4632, 3523, 11, 457, 2665]",0.0,-0.0916071785820855,1.6016949152542372,0.00014410688891075552
18,10640,120.56,127.04," military leaders said was not a great idea for her to go. Look, I know it's a controversial trip,","[4632, 3523, 848, 390, 406, 257, 869, 1558, 337, 720, 281, 352, 13, 2053, 11, 286, 458, 309, 311, 257, 17323, 4931, 11]",0.0,-0.0916071785820855,1.6016949152542372,0.00014410688891075552
19,10640,127.76,130.88," but given the way her husband drives, I think it's exciting when she gets anywhere.","[457, 2212, 264, 636, 720, 5213, 11754, 11, 286, 519, 309, 311, 4670, 562, 750, 2170, 4992, 13]",0.0,-0.0916071785820855,1.6016949152542372,0.00014410688891075552
20,13088,130.88,139.28, Wow. I read the news. Wow. Some of the audience reads the news as well. I'm so sorry. How do you,"[3153, 13, 286, 1401, 264, 2583, 13, 3153, 13, 2188, 295, 264, 4034, 15700, 264, 2583, 382, 731, 13, 286, 478, 370, 2597, 13, 1012, 360, 291]",0.0,-0.11891089076489474,1.6428571428571428,0.000245167117100209
21,13088,139.28,145.68," guys feel about that? He had a DUI. That's a joke about his DUI. Tommy, you want to take this one?","[1074, 841, 466, 300, 30, 634, 632, 257, 28423, 40, 13, 663, 311, 257, 7647, 466, 702, 28423, 40, 13, 19448, 11, 291, 528, 281, 747, 341, 472, 30]",0.0,-0.11891089076489474,1.6428571428571428,0.000245167117100209
22,13088,147.44,152.0," That's all the time we have, Stephen. Why do you think she went anyway? If both the Chinese were","[663, 311, 439, 264, 565, 321, 362, 11, 13391, 13, 1545, 360, 291, 519, 750, 1437, 4033, 30, 759, 1293, 264, 4649, 645]",0.0,-0.11891089076489474,1.6428571428571428,0.000245167117100209
23,13088,152.0,156.48," saying, don't go, and the Biden administration was saying, yeah, please don't go, why do you think","[1566, 11, 500, 380, 352, 11, 293, 264, 9877, 7236, 390, 1566, 11, 1338, 11, 1767, 500, 380, 352, 11, 983, 360, 291, 519]",0.0,-0.11891089076489474,1.6428571428571428,0.000245167117100209
24,15648,156.48,160.79999999999998, she went? Nancy Pelosi has been a fierce critic of the Chinese Communist Party's human rights,"[750, 1437, 30, 18154, 44145, 575, 668, 257, 25341, 7850, 295, 264, 4649, 23253, 8552, 311, 1952, 4601]",0.0,-0.05639771967126219,1.6571428571428573,0.0001710232172627002
25,15648,160.79999999999998,165.51999999999998," record for decades, and I think her thinking was, I'm not going to let the leaders of any country,","[2136, 337, 7878, 11, 293, 286, 519, 720, 1953, 390, 11, 286, 478, 406, 516, 281, 718, 264, 3523, 295, 604, 1941, 11]",0.0,-0.05639771967126219,1.6571428571428573,0.0001710232172627002
26,15648,165.51999999999998,170.88," let alone China, tell me where and when I can travel. So is there some risk associated with","[718, 3312, 3533, 11, 980, 385, 689, 293, 562, 286, 393, 3147, 13, 407, 307, 456, 512, 3148, 6615, 365]",0.0,-0.05639771967126219,1.6571428571428573,0.0001710232172627002
27,15648,170.88,174.95999999999998," this trip? Yes. Have the Chinese responded in ways that are already inflammatory and problematic,","[341, 4931, 30, 1079, 13, 3560, 264, 4649, 15806, 294, 2098, 300, 366, 1217, 38199, 293, 19011, 11]",0.0,-0.05639771967126219,1.6571428571428573,0.0001710232172627002
28,15648,174.95999999999998,179.92," and could they do more? Yes, but I don't want to tell Nancy what to do. I don't have the stones","[293, 727, 436, 360, 544, 30, 1079, 11, 457, 286, 500, 380, 528, 281, 980, 18154, 437, 281, 360, 13, 286, 500, 380, 362, 264, 14083]",0.0,-0.05639771967126219,1.6571428571428573,0.0001710232172627002
29,15648,179.92,185.6," to do that to you. We have to take a quick break, but when we come back, I will talk to John Favreau,","[281, 360, 300, 281, 291, 13, 492, 362, 281, 747, 257, 1702, 1821, 11, 457, 562, 321, 808, 646, 11, 286, 486, 751, 281, 2619, 479, 706, 265, 1459, 11]",0.0,-0.05639771967126219,1.6571428571428573,0.0001710232172627002
30,18560,185.6,199.68," John Lovett, Tommy Vitor about the upcoming midterm election stick around.","[50364, 2619, 441, 5179, 3093, 11, 19448, 691, 3029, 466, 264, 11500, 2062, 7039, 6618, 2897, 926, 13, 51068]",0.0,-0.33828685283660886,0.9866666666666667,0.00014407021808438003
